created,text,retwc,hashtag,followers,friends
10/29/2019 4:39,"b""RT @TheZaiduLeaks: India spend billions on election just to elect Ruler still afterwards there's no surety that they'll rule or not\n\nThey s\xe2\x80\xa6""",283,None,334,326
10/29/2019 4:37,b'People are pissed at @Dchautala for betraying them.\n*How could you give a child knife and expect him not to give yo\xe2\x80\xa6 https://t.co/qclFVn1MaW',0,None,2,30
10/29/2019 4:33,b'RT @sdpikarnataka: SDPI Press Release: \nMaharashtra &amp; Haryana polls smashed invincibility of BJP;  open space for Opposition: SDPI\n#Haryana\xe2\x80\xa6',22,None,11,37
10/29/2019 4:32,b'RT @sdpofindia: MAHARASHTRA &amp; HARYANA POLLS SMASHED INVINCIBILITY OF BJP;  OPEN SPACE FOR OPPOSITION:SDPI\n#HaryanaElections2019 #HaryanaAss\xe2\x80\xa6',46,HaryanaElections2019,11,37
10/29/2019 4:32,"b""RT @TheZaiduLeaks: India spend billions on election just to elect Ruler still afterwards there's no surety that they'll rule or not\n\nThey s\xe2\x80\xa6""",283,None,668,841
10/29/2019 4:30,b'RT @DocGilRaIm: I am not complaining but \n\nDriver license during congress rule - 500 rupay\nDriver license now in modi ji rule - 6000\n\nHarsh\xe2\x80\xa6',54,None,89,454
10/29/2019 4:28,b'RT @scroll_in: What tripped up the BJP in Haryana? 33 charts that decode the verdict that stunned ruling party\nhttps://t.co/UGHuZmswM3 \n\n#H\xe2\x80\xa6',4,None,1112,144
10/29/2019 4:21,b'RT @scroll_in: What tripped up the BJP in Haryana? 33 charts that decode the verdict that stunned ruling party\nhttps://t.co/UGHuZmswM3 \n\n#H\xe2\x80\xa6',4,None,4794,839
10/29/2019 4:20,b'RT @scroll_in: What tripped up the BJP in Haryana? 33 charts that decode the verdict that stunned ruling party\nhttps://t.co/UGHuZmswM3 \n\n#H\xe2\x80\xa6',4,None,63,300
10/29/2019 4:12,"b'RT @imransolanki313: Sale of BPCL Bharat Petroleum is, the BIGGEST SCAM of India\n\n#BPCL real value is 5 lac crore but govt selling it at on\xe2\x80\xa6'",16,BPCL,2,7
10/29/2019 3:57,b'RT @scroll_in: What tripped up the BJP in Haryana? 33 charts that decode the verdict that stunned ruling party\nhttps://t.co/UGHuZmswM3 \n\n#H\xe2\x80\xa6',4,None,42,471
10/29/2019 3:54,b'What tripped up the BJP in Haryana? 33 charts that decode the verdict that stunned ruling party\xe2\x80\xa6 https://t.co/MwALzpCtg5',4,None,263457,88
10/29/2019 3:02,b'I want apology letters from everyone who did not vote for BJP in #MaharashtraAssemblyPolls and\xe2\x80\xa6 https://t.co/GNWZ7iyPhG',0,MaharashtraAssemblyPolls,2077,0
10/29/2019 2:55,b'RT @4mlvodka: #HappyDhanteras with Amazon prime one day delivery \xf0\x9f\x94\xa5\n1. Ordered online\n2. Order has been shipped\n3. Delivered! #HaryanaAssemb\xe2\x80\xa6',140,HappyDhanteras,63,1475
10/29/2019 2:35,"b""RT @AmanPradyuman: Pic 1: \xe2\x82\xb910 lakh for muslim family.\n\nPic 2: Not a single penny to Gopal's Family.\n\n#HaryanaAssemblyPolls https://t.co/dro\xe2\x80\xa6""",9,HaryanaAssemblyPolls,197,473
10/29/2019 1:56,b'RT @BeingSachinDg: Maharashtra elections is a lesson taught by the public to BJP for inducting Corrupt jokers into the party and giving the\xe2\x80\xa6',8,None,1281,2000
10/29/2019 1:52,"b""RT @AmanPradyuman: Pic 1: \xe2\x82\xb910 lakh for muslim family.\n\nPic 2: Not a single penny to Gopal's Family.\n\n#HaryanaAssemblyPolls https://t.co/dro\xe2\x80\xa6""",9,HaryanaAssemblyPolls,1751,1382
10/29/2019 1:40,b'RT @TruthSpeakso: Item #4 : Brilliantly hilarious and Hilariously brilliant!! \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\n#AssemblyElections2019 #HaryanaAssemblyPolls https://t.c\xe2\x80\xa6',1,AssemblyElections2019,1910,454
10/29/2019 1:36,"b'RT @iamsunnydeol: I did ,did you ?\n#VoteKarMaharashtra #HaryanaAssemblyPolls #VoteMumbai #VoteKar https://t.co/MYr9lJEoVZ'",340,VoteKarMaharashtra,6,195
10/29/2019 1:15,"b'RT @imransolanki313: Sale of BPCL Bharat Petroleum is, the BIGGEST SCAM of India\n\n#BPCL real value is 5 lac crore but govt selling it at on\xe2\x80\xa6'",16,BPCL,135,205
10/29/2019 1:05,b'RT @ashutosh83B: Ashutosh - BJP win despite voter wanting them to loose ? \n\nWhy Nationalism failed to get votes for Modi? \n\n#AssemblyElecti\xe2\x80\xa6',69,None,12,81
10/29/2019 0:45,b'RT @Nehr_who: If sadness had a face #HaryanaAssemblyPolls https://t.co/ExEx7PwepL',1237,HaryanaAssemblyPolls,678,4833
10/28/2019 19:07,b'RT @ndtv: WATCH | \xe2\x80\x9cThis vote is against the BJP. All secular parties who fought against BJP should get united and form the government\xe2\x80\x9d: Con\xe2\x80\xa6',73,None,20,55
10/28/2019 18:21,"b'RT @NewsNationTV: #AjayChautala Meets Younger Brother #AbhayChautala, Triggers Hopes Of An End To Family Feud\n\n#HaryanaAssemblyPolls\n\nhttps\xe2\x80\xa6'",1,AjayChautala,4039,4939
10/28/2019 18:20,"b'RT @DesiPoliticks: Chief Minister of Haryana, Manohar Lal Khattar to his own karyakarta: \n\n""Gardan Kaat Dunga Teri"" \n\nImagine what sort of\xe2\x80\xa6'",283,None,108,498
10/28/2019 18:17,"b'#AjayChautala Meets Younger Brother #AbhayChautala, Triggers Hopes Of An End To Family Feud\n\n#HaryanaAssemblyPolls\n\nhttps://t.co/sxoRWkL0Qo'",0,AjayChautala,82,532
10/28/2019 18:12,"b'#AjayChautala Meets Younger Brother #AbhayChautala, Triggers Hopes Of An End To Family Feud\n\n#HaryanaAssemblyPolls\n\nhttps://t.co/ewIDv9MjUi'",1,AjayChautala,151593,416
10/28/2019 18:11,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,110,258
10/28/2019 18:07,"b'RT @imransolanki313: Sale of BPCL Bharat Petroleum is, the BIGGEST SCAM of India\n\n#BPCL real value is 5 lac crore but govt selling it at on\xe2\x80\xa6'",16,BPCL,119,40
10/28/2019 18:00,b'RT @V__A__Y__U: #HaryanaAssemblyPolls\nDamn @BJP4India environmental plan to arrest hundreds of Hindus on Diwali on halt now.\nPlease arrest\xe2\x80\xa6',1,HaryanaAssemblyPolls,1016,569
10/28/2019 17:40,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,424,4994
10/28/2019 17:37,b'RT @yessirtns: Great to see that BJP &amp; JJP have joined hands to form the GOVT in Haryana...\n\nThe CHIEF MINISTER will be :\n\nDUSHYANT KHATTAR\xe2\x80\xa6',33,None,71,154
10/28/2019 17:16,"b'In a reaction to the allegations of Delhi Congress leaders regarding furlough to #AjayChautala, #AAP leader\xe2\x80\xa6 https://t.co/quWrUSJUuw'",0,AjayChautala,211,279
10/28/2019 16:50,b'RT @stupedousam: @ArvindKejriwal No no... congratulations to Ahankari Arvind party for fantastic results in #MaharashtraAssemblyPolls &amp; #Ha\xe2\x80\xa6',2,MaharashtraAssemblyPolls,82,272
10/28/2019 16:48,b'RT @stupedousam: @ArvindKejriwal No no... congratulations to Ahankari Arvind party for fantastic results in #MaharashtraAssemblyPolls &amp; #Ha\xe2\x80\xa6',2,MaharashtraAssemblyPolls,3666,2383
10/28/2019 16:36,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,189,399
10/28/2019 16:36,b'@ArvindKejriwal No no... congratulations to Ahankari Arvind party for fantastic results in\xe2\x80\xa6 https://t.co/4ws8Kzc40o',2,None,19,512
10/28/2019 16:01,"b'RT @sairashahhalim: We need to celebrate democracy,as now we have @BJP4India\nIn every state hook or crook,criminals et all.\n\n#HaryanaAssemb\xe2\x80\xa6'",11,None,50014,39974
10/28/2019 15:29,b'RT @omrajguru: Amit Shah to #ShivSena\n&amp; JJP \n\xf0\x9f\xa4\xa3 #HaryanaAssemblyPolls\n#ElectionResults2019 https://t.co/xEt5HEVLmy',2,ShivSena,95,676
10/28/2019 15:27,b'RT @MoralMentions: After seeing #HaryanaAssemblyPolls election results \n\n#MaharashtraAssemblyPolls #MaharashtraAssemblyPolls2019 #OnePlusDi\xe2\x80\xa6',3,HaryanaAssemblyPolls,95,676
10/28/2019 15:27,b'RT @bkrs100: Chautala betrays the mandate of the people.\n\nI hope people of this country are watching the double standards of this young lea\xe2\x80\xa6',15,None,133,285
10/28/2019 15:22,b'RT @SFHFHI: #HaryanaAssemblyPolls\n\n@narendramodi\nDevelopment will reach the last beneficiary only when there is a \n#PopulationControlLaw li\xe2\x80\xa6',13,HaryanaAssemblyPolls,14228,778
10/28/2019 15:18,b'RT @GaubaKaran: @PMOIndia @BJP4India @AmitShahOffice Hindi belt showing signs of slippage. Middle class #CheatedHomeBuyers hv been ur arden\xe2\x80\xa6',25,CheatedHomeBuyers,74,8
10/28/2019 15:18,b'RT @indiaonthe_move: @Priyascorner The power struggle within the Congress is a lot more vexed than it seems.  And after the #MaharashtraAss\xe2\x80\xa6',5,None,2301,1947
10/28/2019 15:13,"b""RT @latestly: 'BJP Failing Women of India by Taking Gopal Kanda's Support in Haryana': Sushmita Dev Writes Letter to Amit Shah | Read full\xe2\x80\xa6""",20,None,133,285
10/28/2019 15:08,b'RT @indiaonthe_move: @Priyascorner The power struggle within the Congress is a lot more vexed than it seems.  And after the #MaharashtraAss\xe2\x80\xa6',5,None,42418,45787
