created,text,retwc,hashtag,followers,friends
10/29/2019 4:40,b'RT @narendramodi: Here is the answer to #HowdyModi... https://t.co/SXytI29JXv',15157,HowdyModi,10,148
10/29/2019 4:31,"b'RT @i_theindian: NRIs who were chanting ""Modi, Modi"" and ""Bharat Mata Ki Jai"" at #HowdyModi event should give up their US citizenship and r\xe2\x80\xa6'",1733,HowdyModi,277,266
10/29/2019 4:15,"b'RT @i_theindian: NRIs who were chanting ""Modi, Modi"" and ""Bharat Mata Ki Jai"" at #HowdyModi event should give up their US citizenship and r\xe2\x80\xa6'",1733,HowdyModi,9,147
10/29/2019 3:58,"b'RT @i_theindian: NRIs who were chanting ""Modi, Modi"" and ""Bharat Mata Ki Jai"" at #HowdyModi event should give up their US citizenship and r\xe2\x80\xa6'",1733,HowdyModi,2973,622
10/29/2019 3:55,"b'RT @i_theindian: NRIs who were chanting ""Modi, Modi"" and ""Bharat Mata Ki Jai"" at #HowdyModi event should give up their US citizenship and r\xe2\x80\xa6'",1733,HowdyModi,88,87
10/29/2019 3:53,"b'RT @i_theindian: NRIs who were chanting ""Modi, Modi"" and ""Bharat Mata Ki Jai"" at #HowdyModi event should give up their US citizenship and r\xe2\x80\xa6'",1733,HowdyModi,16437,356
10/29/2019 3:45,b'RT @PMadhwaraj: But the effect of global recession of 2008 was better managed by Dr Manmohan Singh Govt and the situation then was not as b\xe2\x80\xa6',11,None,725,1433
10/29/2019 3:34,b'@narendramodi #howdymodi \nOr\nSome New??\n#satyamevjayate #Dj',0,howdymodi,15,68
10/29/2019 2:49,"b'RT @RanjitOne: @RoshanKrRai @pavan_sethi \n\n""He"" has always sought approval from abroad. Madison Square Gardens, HowdyModi, ................\xe2\x80\xa6'",1,None,2357,425
10/29/2019 2:43,b'RT @PMadhwaraj: But the effect of global recession of 2008 was better managed by Dr Manmohan Singh Govt and the situation then was not as b\xe2\x80\xa6',11,None,728,653
10/29/2019 2:37,b'RT @RahulGandhi: Amazing what PM is ready to do for a stock market bump during his #HowdyIndianEconomy jamboree. \n\nAt + 1.4 Lakh Crore Rs.\xe2\x80\xa6',9718,HowdyIndianEconomy,45,146
10/29/2019 2:30,b'RT @PMadhwaraj: But the effect of global recession of 2008 was better managed by Dr Manmohan Singh Govt and the situation then was not as b\xe2\x80\xa6',11,None,971,576
10/29/2019 2:29,b'RT @PMadhwaraj: But the effect of global recession of 2008 was better managed by Dr Manmohan Singh Govt and the situation then was not as b\xe2\x80\xa6',11,None,53,127
10/29/2019 2:19,"b'@RoshanKrRai @pavan_sethi \n\n""He"" has always sought approval from abroad. Madison Square Gardens, HowdyModi, .......\xe2\x80\xa6 https://t.co/x2M5LbiPTm'",1,None,4683,1090
10/29/2019 1:45,b'RT @AliLovesTexas: Q - The Plan To Save The World \n\nhttps://t.co/WRCMQf0lRj \n\n#MAGA #WWG1WGA #RestartMIGA #MIGA #HowdyModi #KAG2020Landslid\xe2\x80\xa6',6,MAGA,1203,2
10/29/2019 1:43,b'RT @AliLovesTexas: Q - The Plan To Save The World \n\nhttps://t.co/WRCMQf0lRj \n\n#MAGA #WWG1WGA #RestartMIGA #MIGA #HowdyModi #KAG2020Landslid\xe2\x80\xa6',6,MAGA,13417,7892
10/28/2019 22:54,"b'RT @AltafHussain_90: Pakistan must stop Army actions against Mohajirs, Balochs, Pashtuns &amp; oppressed nations. Speeches of President @realDo\xe2\x80\xa6'",341,None,100,489
10/28/2019 22:52,"b'RT @AltafHussain_90: Pakistan must stop Army actions against Mohajirs, Balochs, Pashtuns &amp; oppressed nations. Speeches of President @realDo\xe2\x80\xa6'",341,None,16237,11
10/28/2019 20:38,"b'@Imamofpeace Kudos to determined leader @realDonaldTrump who warn islamic radicals pigs, in event #HowdyModi n boom\xe2\x80\xa6 https://t.co/oS6BlBaEA5'",0,HowdyModi,38,86
10/28/2019 20:32,"b""RT @swatskat: Is it only me who thinks that #Baghdadi's death before elections could be influenced by a master 'strike'? Could that be the\xe2\x80\xa6""",1,Baghdadi,883,806
10/28/2019 20:27,b'@PMOIndia @narendramodi @FIIKSA he will address FIIKSA for funding or invest in india as funds given by RBI might s\xe2\x80\xa6 https://t.co/o2ePpznYl6',0,None,30,157
10/28/2019 20:23,"b""RT @rohit_chahal: PM Shri @narendramodi ji will address a historic community event 'Howdy, Modi - Shared Dreams, Bright Futures\xe2\x80\x99 in Houston\xe2\x80\xa6""",26,None,319,1048
10/28/2019 19:50,b'RT @mahjoor07: #NewIndia has merged with the #FarRight across the world. Looks like #Indian ambassador in DC bought @StephenBannon and now\xe2\x80\xa6',1,NewIndia,51,117
10/28/2019 18:53,"b""RT @SUD_0107: It's not #HowdyModi , it's for people of Delhi ...Yes it's #DilliKiDiwali . https://t.co/pvUs1KeQhb""",62,HowdyModi,174,495
10/28/2019 18:29,b'RT @Himansh72125945: This is my #HowdyModi\n\nI really appreciate my @PMOIndia\n\nThank you @narendramodi ji\xf0\x9f\x99\x8f https://t.co/FTm7VKqh3U',3,HowdyModi,544,872
10/28/2019 18:29,b'RT @Himansh72125945: This is my #HowdyModi\n\nI really appreciate my @PMOIndia\n\nThank you @narendramodi ji\xf0\x9f\x99\x8f https://t.co/FTm7VKqh3U',3,HowdyModi,319,169
10/28/2019 18:13,b'RT @PMadhwaraj: But the effect of global recession of 2008 was better managed by Dr Manmohan Singh Govt and the situation then was not as b\xe2\x80\xa6',11,None,406,231
10/28/2019 18:00,"b""RT @AjitKDoval_NSA: Thailand: Amazing Thailand\nIndia: Incredible India\nMalaysia: Truly Asia\nAustralia: There's nothing like Australia\n\nHave\xe2\x80\xa6""",769,None,672,655
10/28/2019 18:00,b'RT @AjitKDoval_NSA: Everytime I see him delivering speech on foreign soil he make me believe the dream of making Bharat Vishwaguru.\nHis cha\xe2\x80\xa6',108,None,672,655
10/28/2019 18:00,b'RT @AjitKDoval_NSA: \xe2\x80\x9cRadical Islamic Terrorism\xe2\x80\x9d gives President Trumph a standing Ovations \xf0\x9f\x98\x8a \nRT here to would be considered as standing ov\xe2\x80\xa6',126,None,672,655
10/28/2019 17:59,b'RT @AjitKDoval_NSA: Trump is hitting all the right nerves and vooing the Indian American community like never before..A good speech by @rea\xe2\x80\xa6',20,None,672,655
10/28/2019 17:59,b'RT @narendramodi: Thank you for the affection Houston. Watch my address! #HowdyModi https://t.co/npT6OavmrS',15144,HowdyModi,672,655
10/28/2019 17:51,b'RT @AjitKDoval_NSA: How many times Modiji said Bharat ??? 100s of time.\n\nI simply love him saying Bharat in world stage.\n\n@narendramodi \xf0\x9f\x99\x8f\xe2\x80\xa6',73,None,672,655
10/28/2019 17:51,b'RT @AjitKDoval_NSA: President Donald Trump gets huge standing ovation during Howdy Modi event with PM Narendra Modi for saying that we are\xe2\x80\xa6',90,None,672,655
10/28/2019 17:51,b'RT @AjitKDoval_NSA: 2012- 65 lawmakers from India wrote to US to deny him Visa\n2019- 60 US lawmakers attended his mega event which is the b\xe2\x80\xa6',250,None,672,655
10/28/2019 17:51,b'RT @PMadhwaraj: But the effect of global recession of 2008 was better managed by Dr Manmohan Singh Govt and the situation then was not as b\xe2\x80\xa6',11,None,1129,900
10/28/2019 17:42,b'@SushantSin @kavita_krishnan organized By RSS Even Management Like #HowdyModi Keep Doin Bakchoodi \xf0\x9f\x9a\xa9',0,HowdyModi,570,897
10/28/2019 17:30,b'RT @RahulGandhi: Amazing what PM is ready to do for a stock market bump during his #HowdyIndianEconomy jamboree. \n\nAt + 1.4 Lakh Crore Rs.\xe2\x80\xa6',9718,HowdyIndianEconomy,210,291
