created,text,retwc,hashtag,followers,friends
11/13/2019 10:06,b'#TheSkyIsPink\xc2\xa0\xc2\xa0\xc2\xa0Week5 in a few screens!! 24cr+ at BO! #SteadyRun \n\nWeek1 17.52cr\nWeek2 5.60cr\nWeek3 0.83cr\nWeek4 0.\xe2\x80\xa6 https://t.co/3k6rDzK0Rh',0,TheSkyIsPink,1436,28
11/13/2019 9:42,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,163,141
11/13/2019 9:01,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,318,292
11/13/2019 8:52,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,127,192
11/13/2019 8:37,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,58,271
11/13/2019 8:01,b'Is there anything more beautiful than a colourful morning sky!? \xf0\x9f\x98\x8d #TheSkyIsPink #BeautifulSky\xe2\x80\xa6 https://t.co/f1HkvBBNiP',0,TheSkyIsPink,79,201
11/13/2019 7:49,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,72,53
11/13/2019 7:46,b'Where was this energy during #TheSkyIsPink ? https://t.co/Pg0I8YSgb1',0,TheSkyIsPink,1238,56
11/13/2019 5:54,b'RT @jayantadas100: @PrabhasRaju #TheSkyIsPink maintain its Ranking (Highest Net Gross 2019). @priyankachopra \xe2\xac\x86\xef\xb8\x8f',7,TheSkyIsPink,314,517
11/13/2019 5:53,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,314,517
11/13/2019 5:10,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,51,186
11/13/2019 4:48,b'RT @rayofsun28: \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f can we know the figure please...also \xf0\x9f\x96\x95to people who called it flop..#theskyispink #PriyankaChopra https://t.co/J6ra0OA\xe2\x80\xa6',8,theskyispink,336,144
11/13/2019 4:12,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,695,959
11/13/2019 4:04,b'RT @PRDMovieReviews: HUGE \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5#TheSkyIsPink will be the opening film of #R2RFIFF2019\xf0\x9f\x91\x8f\n\nDirected by #ShonaliBose.\nFt.@priyankachopra @FarOutAk\xe2\x80\xa6',29,TheSkyIsPink,1436,28
11/13/2019 3:10,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,320,214
11/13/2019 2:57,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,1238,56
11/12/2019 23:30,"b'RT @jayantadas100: @priyankachopra @TeamPriyanka #TheSkyIsPink 4th week updated. Yes, this @priyankachopra  movie is still running at Inox\xe2\x80\xa6'",7,TheSkyIsPink,664,200
11/12/2019 23:26,"b""RT @baradwajrangan: 'Magic hour' shot. Clicked by @iamsuds in the hills of Dharamsala.\n\n#photography #pahaadDaysNight #theSkyIsPink https:/\xe2\x80\xa6""",1,photography,978,279
11/12/2019 23:25,"b'RT @jayantadas100: @priyankachopra @TeamPriyanka #TheSkyIsPink 4th week updated. Yes, this @priyankachopra  movie is still running at Inox\xe2\x80\xa6'",7,TheSkyIsPink,978,279
11/12/2019 23:25,b'RT @jayantadas100: #TheSkyIsPink LIVE Box Office Details \xe2\xac\x87\xef\xb8\x8f\n@priyankachopra @TeamPriyanka \nhttps://t.co/5bsfoPQ3O7',1,TheSkyIsPink,978,279
11/12/2019 23:12,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,63,44
11/12/2019 23:00,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,978,279
11/12/2019 22:59,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,664,200
11/12/2019 21:23,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,1530,2183
11/12/2019 21:17,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,98,130
11/12/2019 20:39,b'RT @rayofsun28: \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f can we know the figure please...also \xf0\x9f\x96\x95to people who called it flop..#theskyispink #PriyankaChopra https://t.co/J6ra0OA\xe2\x80\xa6',8,theskyispink,29,18
11/12/2019 20:39,b'RT @jayantadas100: @PrabhasRaju #TheSkyIsPink maintain its Ranking (Highest Net Gross 2019). @priyankachopra \xe2\xac\x86\xef\xb8\x8f',7,TheSkyIsPink,29,18
11/12/2019 19:04,b'RT @jayantadas100: @PrabhasRaju #TheSkyIsPink maintain its Ranking (Highest Net Gross 2019). @priyankachopra \xe2\xac\x86\xef\xb8\x8f',7,TheSkyIsPink,224,508
11/12/2019 18:50,b'RT @jayantadas100: @PrabhasRaju #TheSkyIsPink maintain its Ranking (Highest Net Gross 2019). @priyankachopra \xe2\xac\x86\xef\xb8\x8f',7,TheSkyIsPink,1,78
11/12/2019 18:44,b'RT @rayofsun28: \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f can we know the figure please...also \xf0\x9f\x96\x95to people who called it flop..#theskyispink #PriyankaChopra https://t.co/J6ra0OA\xe2\x80\xa6',8,theskyispink,72,53
11/12/2019 18:44,b'RT @jayantadas100: @PrabhasRaju #TheSkyIsPink maintain its Ranking (Highest Net Gross 2019). @priyankachopra \xe2\xac\x86\xef\xb8\x8f',7,TheSkyIsPink,72,53
11/12/2019 18:41,b'RT @jayantadas100: @PrabhasRaju #TheSkyIsPink maintain its Ranking (Highest Net Gross 2019). @priyankachopra \xe2\xac\x86\xef\xb8\x8f',7,TheSkyIsPink,147,402
11/12/2019 18:35,b'RT @priyankachopra: Talking #TheSkyIsPink(after Hot Ones wings \xf0\x9f\x94\xa5) on @FallonTonight at 11:35pm EST on NBC! Hot sauce 400x spicier than a ja\xe2\x80\xa6',517,TheSkyIsPink,38,199
11/12/2019 18:34,b'RT @jayantadas100: @PrabhasRaju #TheSkyIsPink maintain its Ranking (Highest Net Gross 2019). @priyankachopra \xe2\xac\x86\xef\xb8\x8f',7,TheSkyIsPink,978,279
11/12/2019 18:34,b'RT @rayofsun28: \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f can we know the figure please...also \xf0\x9f\x96\x95to people who called it flop..#theskyispink #PriyankaChopra https://t.co/J6ra0OA\xe2\x80\xa6',8,theskyispink,978,279
11/12/2019 18:27,b'RT @rayofsun28: \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f can we know the figure please...also \xf0\x9f\x96\x95to people who called it flop..#theskyispink #PriyankaChopra https://t.co/J6ra0OA\xe2\x80\xa6',8,theskyispink,862,237
11/12/2019 18:25,b'RT @guptairesh: my little something on #TheSkyIsPink by Shonali Bose. @priyankachopra @FarOutAkhtar @ZairaWasimmm @RSVPMovies @roykapurfilm\xe2\x80\xa6',26,TheSkyIsPink,1620,1351
11/12/2019 18:17,b'\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f can we know the figure please...also \xf0\x9f\x96\x95to people who called it flop..#theskyispink #PriyankaChopra https://t.co/J6ra0OAOai',8,theskyispink,370,60
