created,text,retwc,hashtag,followers,friends
11/6/2019 11:00,b'RT @HonOscarSudi: What happened to our electoral laws?... Why is @IEBCKenya and @NPSC_KE not responsible?... Imran Okoth is donating Unga p\xe2\x80\xa6',10,None,31834,17823
11/6/2019 11:00,b'RT @HonOscarSudi: What happened to our electoral laws?... Why is @IEBCKenya and @NPSC_KE not responsible?... Imran Okoth is donating Unga p\xe2\x80\xa6',10,None,1447,3087
11/6/2019 10:59,b'RT @ronniechirchir: Unga Limited Eldoret is offering internship to all cadres. Kindly if interested contact their service number +254-53203\xe2\x80\xa6',36,None,712,621
11/6/2019 10:58,b'RT @HonOscarSudi: What happened to our electoral laws?... Why is @IEBCKenya and @NPSC_KE not responsible?... Imran Okoth is donating Unga p\xe2\x80\xa6',10,None,997,3045
11/6/2019 10:56,b'@solo_ambuku @DCI_Kenya They might add some unga n keep the rest for the market',0,None,4215,631
11/6/2019 10:56,b'RT @HonOscarSudi: What happened to our electoral laws?... Why is @IEBCKenya and @NPSC_KE not responsible?... Imran Okoth is donating Unga p\xe2\x80\xa6',10,None,677,1255
11/6/2019 10:56,b'RT @HonOscarSudi: What happened to our electoral laws?... Why is @IEBCKenya and @NPSC_KE not responsible?... Imran Okoth is donating Unga p\xe2\x80\xa6',10,None,35305,4915
11/6/2019 10:56,b'RT @HonOscarSudi: What happened to our electoral laws?... Why is @IEBCKenya and @NPSC_KE not responsible?... Imran Okoth is donating Unga p\xe2\x80\xa6',10,None,247,1634
11/6/2019 10:56,b'RT @HonOscarSudi: What happened to our electoral laws?... Why is @IEBCKenya and @NPSC_KE not responsible?... Imran Okoth is donating Unga p\xe2\x80\xa6',10,None,28082,9106
11/6/2019 10:55,b'RT @HonOscarSudi: What happened to our electoral laws?... Why is @IEBCKenya and @NPSC_KE not responsible?... Imran Okoth is donating Unga p\xe2\x80\xa6',10,None,112818,8406
11/6/2019 10:55,b'eg. Unga Hikes from 90-150/=.ndio kukuje ka Ninja katatetea Raiya bei Iteremshwe. Creating a Crisis knowingly it wi\xe2\x80\xa6 https://t.co/Jd4bbhGaGJ',0,None,270,243
